"","player_name","position","date_of_birth","age","nationality","club_name","league_name","season","year","first_name","second_name","goals_scored","assists","total_points","minutes.played","goals_conceded","creativity","influence","threat","bonus","bps","ict_index","clean_sheets","red_cards","yellow_cards","selected_by_percent","position_index","fpl_to_game"
"114","Mesut Özil","Attacking Midfield","1988-10-15T00:00:00Z",27,"Germany","Arsenal FC","Premier League","2016/2017",2016,"Mesut","Özil",8,11,167,2841,30,1649.3,834.4,734,19,729,322,12,0,2,7.5,"4",5.29039070749736
"115","Alexis Sánchez","Left Winger","1988-12-19T00:00:00Z",27,"Chile","Arsenal FC","Premier League","2016/2017",2016,"Alexis","Sánchez",24,11,264,3217,41,1278.3,1357.8,1896,32,834,453.4,13,0,6,29.7,"4",7.38576313335406
"116","Alex Iwobi","Left Winger","1996-05-03T00:00:00Z",20,"Nigeria","Arsenal FC","Premier League","2016/2017",2016,"Alex","Iwobi",3,5,89,1456,20,467.8,326.4,592,8,352,138.7,9,0,1,1.1,"4",5.50137362637363
"117","Theo Walcott","Right Winger","1989-03-16T00:00:00Z",27,"England","Arsenal FC","Premier League","2016/2017",2016,"Theo","Walcott",10,3,122,1916,26,280.5,541.8,1023,7,380,184.1,8,0,1,4.2,"4",5.73068893528184
"118","Joel Campbell","Right Winger","1992-06-26T00:00:00Z",24,"Costa Rica","Arsenal FC","Premier League","2016/2017",2016,"Joel","Campbell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4",NA
"119","Olivier Giroud","Centre-Forward","1986-09-30T00:00:00Z",29,"France","Arsenal FC","Premier League","2016/2017",2016,"Olivier","Giroud",12,5,116,1206,16,275.1,522.6,797,17,432,158.9,4,0,2,4.7,"5",8.65671641791045
"120","Danny Welbeck","Centre-Forward","1990-11-26T00:00:00Z",25,"England","Arsenal FC","Premier League","2016/2017",2016,"Danny","Welbeck",2,2,37,748,11,89.9,144.8,321,0,117,55.5,3,0,0,0.8,"5",4.45187165775401
"121","Lucas Pérez","Centre-Forward","1988-09-10T00:00:00Z",27,"Spain","Arsenal FC","Premier League","2016/2017",2016,"Lucas","Pérez",1,1,20,272,2,105.4,65.4,163,0,83,32.9,1,0,0,0.1,"5",6.61764705882353
"122","Yaya Sanogo","Centre-Forward","1993-01-27T00:00:00Z",23,"France","Arsenal FC","Premier League","2016/2017",2016,"Yaya","Sanogo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,"5",NA
"123","Chuba Akpom","Centre-Forward","1995-10-09T00:00:00Z",20,"England","Arsenal FC","Premier League","2016/2017",2016,"Chuba","Akpom",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,"5",NA
"124","Simon Mignolet","Goalkeeper","1988-03-06T00:00:00Z",28,"Belgium","Liverpool FC","Premier League","2016/2017",2016,"Simon","Mignolet",0,0,110,2520,30,0,461.2,0,7,506,46,9,0,0,3.5,"1",3.92857142857143
"125","Loris Karius","Goalkeeper","1993-06-22T00:00:00Z",23,"Germany","Liverpool FC","Premier League","2016/2017",2016,"Loris","Karius",0,0,32,900,12,0,149.4,0,0,153,15,3,0,0,0.7,"1",3.2
"126","Alexander Manninger","Goalkeeper","1977-06-04T00:00:00Z",39,"Austria","Liverpool FC","Premier League","2016/2017",2016,"Alexander","Manninger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,"1",NA
"127","Mamadou Sakho","Centre-Back","1990-02-13T00:00:00Z",26,"France","Liverpool FC","Premier League","2016/2017",2016,"Mamadou","Sakho",0,0,35,686,6,48.7,143.4,40,6,155,23.2,4,0,0,0.6,"2",4.59183673469388
"128","Joel Matip","Centre-Back","1991-08-08T00:00:00Z",24,"Cameroon","Liverpool FC","Premier League","2016/2017",2016,"Joel","Matip",1,0,97,2457,25,143.3,588.6,348,7,557,108,9,0,3,3.2,"2",3.55311355311355
"129","Dejan Lovren","Centre-Back","1989-07-05T00:00:00Z",26,"Croatia","Liverpool FC","Premier League","2016/2017",2016,"Dejan","Lovren",2,1,106,2553,31,119.2,715.4,236,6,589,107.1,11,0,6,5.6,"2",3.73678025851939
"130","Ragnar Klavan","Centre-Back","1985-10-30T00:00:00Z",30,"Estonia","Liverpool FC","Premier League","2016/2017",2016,"Ragnar","Klavan",0,0,43,1410,19,52.5,308.2,78,4,292,44,3,0,3,0.6,"2",2.74468085106383
"131","Alberto Moreno","Left-Back","1992-07-05T00:00:00Z",23,"Spain","Liverpool FC","Premier League","2016/2017",2016,"Alberto","Moreno",0,1,15,305,7,78.3,64.6,32,1,79,17.5,0,0,1,1.4,"2",4.42622950819672
"132","Nathaniel Clyne","Right-Back","1991-04-05T00:00:00Z",25,"England","Liverpool FC","Premier League","2016/2017",2016,"Nathaniel","Clyne",0,2,129,3323,41,716.5,512,294,13,735,152.4,12,0,0,10.3,"2",3.49383087571472
"133","Jon Flanagan","Right-Back","1993-01-01T00:00:00Z",23,"England","Liverpool FC","Premier League","2016/2017",2016,"Jon","Flanagan",0,0,9,360,4,16.4,63.8,0,0,55,8,1,0,2,0.2,"2",2.25
"134","Connor Randall","Right-Back","1995-10-21T00:00:00Z",20,"England","Liverpool FC","Premier League","2016/2017",2016,"Connor","Randall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,"2",NA
"135","Trent Alexander-Arnold","Right-Back","1998-10-07T00:00:00Z",17,"England","Liverpool FC","Premier League","2016/2017",2016,"Trent","Alexander-Arnold",0,0,8,167,2,20.2,32.4,48,0,32,10.1,0,0,0,0,"2",4.31137724550898
"136","Emre Can","Defensive Midfield","1994-01-12T00:00:00Z",22,"Germany","Liverpool FC","Premier League","2016/2017",2016,"Emre","Can",5,2,104,2371,28,544.5,512.2,500,12,436,155.3,9,0,6,3,"3",3.9477013918178
"137","Kevin Stewart","Defensive Midfield","1993-09-07T00:00:00Z",22,"England","Liverpool FC","Premier League","2016/2017",2016,"Kevin","Stewart",0,0,4,20,0,0.4,3.6,0,0,12,0.4,0,0,0,0.1,"3",18
"138","Jordan Henderson","Central Midfield","1990-06-17T00:00:00Z",26,"England","Liverpool FC","Premier League","2016/2017",2016,"Jordan","Henderson",1,4,73,2116,28,554.3,507.4,93,9,467,115.5,7,0,8,1,"3",3.10491493383743
"139","Georginio Wijnaldum","Central Midfield","1990-11-11T00:00:00Z",25,"Netherlands","Liverpool FC","Premier League","2016/2017",2016,"Georginio","Wijnaldum",6,9,149,2974,37,694.5,648.4,639,14,650,198.5,11,0,2,1.7,"3",4.50907868190989
"140","James Milner","Central Midfield","1986-01-04T00:00:00Z",30,"England","Liverpool FC","Premier League","2016/2017",2016,"James","Milner",7,4,139,3154,35,937,919,493,16,682,235.2,12,0,5,4.8,"3",3.96639188332276
"141","Marko Grujic","Central Midfield","1996-04-13T00:00:00Z",20,"Serbia","Liverpool FC","Premier League","2016/2017",2016,"Marko","Grujic",0,0,4,43,0,17.4,8.8,39,0,10,6.1,0,0,1,0.2,"3",8.37209302325581
"142","Adam Lallana","Attacking Midfield","1988-05-10T00:00:00Z",28,"England","Liverpool FC","Premier League","2016/2017",2016,"Adam","Lallana",8,7,139,2338,32,693,679.4,825,14,543,219.5,9,0,3,9.1,"4",5.35072711719418
"143","Philippe Coutinho","Left Winger","1992-06-12T00:00:00Z",24,"Brazil","Liverpool FC","Premier League","2016/2017",2016,"Philippe","Coutinho",13,8,171,2228,27,1081.8,860,1125,21,631,306.5,8,0,2,26,"4",6.90754039497307
"144","Sadio Mané","Left Winger","1992-04-10T00:00:00Z",24,"Senegal","Liverpool FC","Premier League","2016/2017",2016,"Sadio","Mané",13,7,156,2242,26,660.7,727,1074,14,502,246,8,0,4,7.8,"4",6.26226583407672
"145","Ben Woodburn","Left Winger","1999-10-15T00:00:00Z",16,"Wales","Liverpool FC","Premier League","2016/2017",2016,"Ben","Woodburn",0,0,5,86,1,12.6,7.4,34,0,14,5.4,0,0,0,0,"4",5.23255813953488
"146","Lazar Markovic","Right Winger","1994-03-02T00:00:00Z",22,"Serbia","Liverpool FC","Premier League","2016/2017",2016,"Lazar","Markovic",2,0,37,1005,15,160.3,142.2,185,2,125,48.5,5,0,4,0.1,"4",3.3134328358209
"147","Harry Wilson","Right Winger","1997-03-22T00:00:00Z",19,"Wales","Liverpool FC","Premier League","2016/2017",2016,"Harry","Wilson",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4",NA
"148","Roberto Firmino","Centre-Forward","1991-10-02T00:00:00Z",24,"Brazil","Liverpool FC","Premier League","2016/2017",2016,"Roberto","Firmino",11,11,180,3062,39,1127.3,869.6,1569,17,639,356.9,11,0,5,8.8,"5",5.29065969954278
"149","Daniel Sturridge","Centre-Forward","1989-09-01T00:00:00Z",26,"England","Liverpool FC","Premier League","2016/2017",2016,"Daniel","Sturridge",3,5,54,775,7,207.4,202.8,492,2,180,89.7,3,0,1,1.9,"5",6.27096774193548
"150","Danny Ings","Centre-Forward","1992-07-23T00:00:00Z",23,"England","Liverpool FC","Premier League","2016/2017",2016,"Danny","Ings",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,"5",NA
"151","Divock Origi","Centre-Forward","1995-04-18T00:00:00Z",21,"Belgium","Liverpool FC","Premier League","2016/2017",2016,"Divock","Origi",7,4,96,1469,18,264.4,360,551,8,297,116.1,7,0,0,5.5,"5",5.88155207624234
"152","Rhian Brewster","Centre-Forward","2000-04-01T00:00:00Z",16,"England","Liverpool FC","Premier League","2016/2017",2016,"Rhian","Brewster",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5",NA
"153","Hugo Lloris","Goalkeeper","1986-12-26T00:00:00Z",29,"France","Tottenham Hotspur","Premier League","2016/2017",2016,"Hugo","Lloris",0,0,143,3004,24,20,664.6,2,6,665,68.7,15,0,0,7.9,"1",4.28428761651132
"154","Michel Vorm","Goalkeeper","1983-10-20T00:00:00Z",32,"Netherlands","Tottenham Hotspur","Premier League","2016/2017",2016,"Michel","Vorm",0,0,17,416,2,0,70.4,0,0,81,6.9,2,0,0,0.3,"1",3.67788461538462
"155","Luke McGee","Goalkeeper","1995-09-02T00:00:00Z",20,"England","Tottenham Hotspur","Premier League","2016/2017",2016,"Luke","McGee",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,"1",NA
"156","Toby Alderweireld","Centre-Back","1989-03-02T00:00:00Z",27,"Belgium","Tottenham Hotspur","Premier League","2016/2017",2016,"Toby","Alderweireld",1,0,120,2601,17,102.2,618.4,363,4,611,108.6,14,0,1,9.6,"2",4.1522491349481
"157","Jan Vertonghen","Centre-Back","1987-04-24T00:00:00Z",29,"Belgium","Tottenham Hotspur","Premier League","2016/2017",2016,"Jan","Vertonghen",0,0,126,2894,21,121.1,790.8,138,8,733,105.1,15,0,5,7.7,"2",3.91845196959226
"158","Kevin Wimmer","Centre-Back","1992-11-15T00:00:00Z",23,"Austria","Tottenham Hotspur","Premier League","2016/2017",2016,"Kevin","Wimmer",0,0,2,357,4,14.4,39.4,0,0,26,5.4,0,0,3,0.1,"2",0.504201680672269
"159","Cameron Carter-Vickers","Centre-Back","1997-12-31T00:00:00Z",18,"United States","Tottenham Hotspur","Premier League","2016/2017",2016,"Cameron","Carter-Vickers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",NA
"160","Danny Rose","Left-Back","1990-07-02T00:00:00Z",25,"England","Tottenham Hotspur","Premier League","2016/2017",2016,"Danny","Rose",2,3,84,1530,11,371.5,387.4,237,6,357,99.6,8,0,8,4.3,"2",4.94117647058824
"161","Ben Davies","Left-Back","1993-04-24T00:00:00Z",23,"Wales","Tottenham Hotspur","Premier League","2016/2017",2016,"Ben","Davies",1,3,90,1739,13,449.6,452,156,5,443,105.8,8,0,1,5.2,"2",4.6578493387004
"162","Kyle Walker","Right-Back","1990-05-28T00:00:00Z",26,"England","Tottenham Hotspur","Premier League","2016/2017",2016,"Kyle","Walker",0,6,142,2701,21,570.5,564,264,18,640,140.2,14,0,8,27.6,"2",4.73158089596446
"163","Kieran Trippier","Right-Back","1990-09-19T00:00:00Z",25,"England","Tottenham Hotspur","Premier League","2016/2017",2016,"Kieran","Trippier",0,5,51,568,3,185.6,183.8,35,7,202,40.6,3,0,1,0.4,"2",8.08098591549296
"164","Eric Dier","Defensive Midfield","1994-01-15T00:00:00Z",22,"England","Tottenham Hotspur","Premier League","2016/2017",2016,"Eric","Dier",2,0,93,3043,24,223.8,663.6,315,4,505,120.7,16,0,6,5.1,"3",2.75057509037134
"165","Victor Wanyama","Defensive Midfield","1991-06-25T00:00:00Z",25,"Kenya","Tottenham Hotspur","Premier League","2016/2017",2016,"Victor","Wanyama",4,2,103,3012,25,486,609.6,480,7,578,157.7,12,0,10,2.9,"3",3.07768924302789
"166","Filip Lesniak","Defensive Midfield","1996-05-14T00:00:00Z",20,"Slovakia","Tottenham Hotspur","Premier League","2016/2017",2016,"Filip","Lesniak",0,1,4,5,0,11.2,18.6,0,0,14,3,0,0,0,0,"3",72
"167","Mousa Dembélé","Central Midfield","1987-07-16T00:00:00Z",28,"Belgium","Tottenham Hotspur","Premier League","2016/2017",2016,"Mousa","Dembélé",1,2,76,2056,17,409.7,407.2,121,6,456,94.2,11,0,5,0.5,"3",3.32684824902724
"168","Moussa Sissoko","Central Midfield","1989-08-16T00:00:00Z",26,"France","Tottenham Hotspur","Premier League","2016/2017",2016,"Moussa","Sissoko",0,3,43,909,5,274.2,133,212,0,162,61,4,0,3,0.1,"3",4.25742574257426
"169","Nabil Bentaleb","Central Midfield","1994-11-24T00:00:00Z",21,"Algeria","Tottenham Hotspur","Premier League","2016/2017",2016,"Nabil","Bentaleb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3",NA
"170","Ryan Mason","Central Midfield","1991-06-13T00:00:00Z",25,"England","Tottenham Hotspur","Premier League","2016/2017",2016,"Ryan","Mason",1,0,26,927,27,149.6,116,137,0,126,39.8,0,0,4,0,"3",2.52427184466019
"171","Tom Carroll","Central Midfield","1992-05-28T00:00:00Z",24,"England","Tottenham Hotspur","Premier League","2016/2017",2016,"Tom","Carroll",1,2,52,1389,18,268.2,253.8,86,4,243,61,5,0,1,2.6,"3",3.36933045356372
"172","Harry Winks","Central Midfield","1996-02-02T00:00:00Z",20,"England","Tottenham Hotspur","Premier League","2016/2017",2016,"Harry","Winks",1,1,30,494,6,122.1,128,77,0,141,32.8,0,0,1,0,"3",5.46558704453441
"173","Christian Eriksen","Attacking Midfield","1992-02-14T00:00:00Z",24,"Denmark","Tottenham Hotspur","Premier League","2016/2017",2016,"Christian","Eriksen",8,20,218,3159,24,1679.2,974.6,1244,30,798,389.7,16,0,0,17.9,"4",6.21082621082621
"174","Samuel Shashoua","Left Winger","1999-05-13T00:00:00Z",17,"England","Tottenham Hotspur","Premier League","2016/2017",2016,"Samuel","Shashoua",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4",NA
"175","Erik Lamela","Right Winger","1992-03-04T00:00:00Z",24,"Argentina","Tottenham Hotspur","Premier League","2016/2017",2016,"Erik","Lamela",1,1,28,595,2,275.2,121.8,225,4,93,62.2,4,0,1,3.3,"4",4.23529411764706
"176","Harry Kane","Centre-Forward","1993-07-28T00:00:00Z",22,"England","Tottenham Hotspur","Premier League","2016/2017",2016,"Harry","Kane",29,7,224,2523,19,548.4,1279,1530,33,920,336,14,0,3,23.3,"5",7.99048751486326
"177","Clinton N'Jie","Centre-Forward","1993-08-15T00:00:00Z",22,"Cameroon","Tottenham Hotspur","Premier League","2016/2017",2016,"Clinton","N'Jie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5",NA
"178","Vincent Janssen","Centre-Forward","1994-06-15T00:00:00Z",22,"Netherlands","Tottenham Hotspur","Premier League","2016/2017",2016,"Vincent","Janssen",2,3,55,845,8,241.3,158,501,3,134,89.4,3,0,0,0.8,"5",5.85798816568047
"179","Joel Robles","Goalkeeper","1990-06-17T00:00:00Z",26,"Spain","Everton FC","Premier League","2016/2017",2016,"Joel","Robles",0,1,89,1737,20,10,439.2,0,5,407,44.9,10,0,2,0.9,"1",4.61139896373057
"180","Maarten Stekelenburg","Goalkeeper","1982-09-22T00:00:00Z",33,"Netherlands","Everton FC","Premier League","2016/2017",2016,"Maarten","Stekelenburg",0,0,68,1683,24,0.1,350.4,0,3,309,35.1,4,0,2,1.7,"1",3.63636363636364
"181","Mateusz Hewelt","Goalkeeper","1996-09-23T00:00:00Z",19,"Poland","Everton FC","Premier League","2016/2017",2016,"Mateusz","Hewelt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,"1",NA
"182","Ramiro Funes Mori","Centre-Back","1991-03-05T00:00:00Z",25,"Argentina","Everton FC","Premier League","2016/2017",2016,"Ramiro","Funes Mori",0,1,69,1543,19,64,346.2,129,4,365,54,7,0,0,1.4,"2",4.02462734931951
"183","Ashley Williams","Centre-Back","1984-08-23T00:00:00Z",31,"Wales","Everton FC","Premier League","2016/2017",2016,"Ashley","Williams",1,3,127,3160,40,119.1,927.6,289,9,739,133.9,13,1,7,8.7,"2",3.61708860759494
"184","Phil Jagielka","Centre-Back","1982-08-17T00:00:00Z",33,"England","Everton FC","Premier League","2016/2017",2016,"Phil","Jagielka",3,3,104,2251,32,71.7,751.4,278,16,533,110.1,6,1,4,7.5,"2",4.15815193247446
"185","Tyias Browning","Centre-Back","1994-05-27T00:00:00Z",22,"England","Everton FC","Premier League","2016/2017",2016,"Tyias","Browning",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"2",NA
"186","Mason Holgate","Centre-Back","1996-10-22T00:00:00Z",19,"England","Everton FC","Premier League","2016/2017",2016,"Mason","Holgate",0,1,54,1372,18,152.2,286.8,83,5,303,52.3,5,0,2,7.1,"2",3.54227405247813
"187","Matthew Pennington","Centre-Back","1994-10-06T00:00:00Z",21,"England","Everton FC","Premier League","2016/2017",2016,"Matthew","Pennington",1,0,9,180,6,10.7,63.8,33,0,37,10.8,0,0,0,0.9,"2",4.5
"188","Leighton Baines","Left-Back","1984-12-11T00:00:00Z",31,"England","Everton FC","Premier League","2016/2017",2016,"Leighton","Baines",2,5,135,2819,34,695,570.8,151,15,647,141.9,11,0,4,11,"2",4.31003902092941
"189","Bryan Oviedo","Left-Back","1990-02-18T00:00:00Z",26,"Costa Rica","Everton FC","Premier League","2016/2017",2016,"Bryan","Oviedo",0,0,29,1323,26,155.4,250.6,37,0,223,44.4,3,0,4,0.1,"2",1.97278911564626
"190","Brendan Galloway","Left-Back","1996-03-17T00:00:00Z",20,"England","Everton FC","Premier League","2016/2017",2016,"Brendan","Galloway",0,0,9,247,3,18.4,33,25,0,44,7.5,1,0,0,0.2,"2",3.27935222672065
"191","Seamus Coleman","Right-Back","1988-10-11T00:00:00Z",27,"Ireland","Everton FC","Premier League","2016/2017",2016,"Seamus","Coleman",4,4,133,2316,28,308.9,596,297,15,548,120.3,10,0,3,4,"2",5.16839378238342
"192","Jonjoe Kenny","Right-Back","1997-03-15T00:00:00Z",19,"England","Everton FC","Premier League","2016/2017",2016,"Jonjoe","Kenny",0,0,1,13,0,0.6,0,0,0,2,0,0,0,0,0,"2",6.92307692307692
"193","Morgan Schneiderlin","Defensive Midfield","1989-11-08T00:00:00Z",26,"France","Everton FC","Premier League","2016/2017",2016,"Morgan","Schneiderlin",1,0,37,1073,14,112.3,216.2,90,1,214,42,5,0,2,0.4,"3",3.10344827586207
"194","Muhamed Besic","Defensive Midfield","1992-09-10T00:00:00Z",23,"Bosnia-Herzegovina","Everton FC","Premier League","2016/2017",2016,"Muhamed","Besic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3",NA
"195","Gareth Barry","Defensive Midfield","1981-02-23T00:00:00Z",35,"England","Everton FC","Premier League","2016/2017",2016,"Gareth","Barry",2,1,68,2109,28,400.6,509.4,244,3,371,115,7,0,10,3.2,"3",2.90184921763869
"196","Ross Barkley","Central Midfield","1993-12-05T00:00:00Z",22,"England","Everton FC","Premier League","2016/2017",2016,"Ross","Barkley",5,11,144,2900,36,1237.6,692.4,973,11,534,290.3,12,0,5,6.6,"3",4.46896551724138
"197","James McCarthy","Central Midfield","1990-11-12T00:00:00Z",25,"Ireland","Everton FC","Premier League","2016/2017",2016,"James","McCarthy",1,1,23,613,10,80.4,119.8,84,0,100,28.6,0,0,2,0.2,"3",3.3768352365416
"198","Tom Cleverley","Central Midfield","1989-08-12T00:00:00Z",26,"England","Everton FC","Premier League","2016/2017",2016,"Tom","Cleverley",0,3,55,1848,40,438.1,255.2,93,0,294,78.7,3,0,4,0.1,"3",2.67857142857143
"199","Idrissa Gueye","Central Midfield","1989-09-26T00:00:00Z",26,"Senegal","Everton FC","Premier League","2016/2017",2016,"Idrissa","Gueye",1,2,80,2681,31,434.1,555.8,237,9,540,122.9,9,0,11,0.4,"3",2.68556508765386
"200","Darron Gibson","Central Midfield","1987-10-25T00:00:00Z",28,"Ireland","Everton FC","Premier League","2016/2017",2016,"Darron","Gibson",0,0,17,640,12,51.5,72.4,16,0,101,13.8,1,0,4,0.1,"3",2.390625
"201","Joe Williams","Central Midfield","1996-12-08T00:00:00Z",19,"England","Everton FC","Premier League","2016/2017",2016,"Joe","Williams",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3",NA
"202","Tom Davies","Central Midfield","1998-06-30T00:00:00Z",18,"England","Everton FC","Premier League","2016/2017",2016,"Tom","Davies",2,3,63,1544,17,246.1,259,208,0,248,70.9,8,0,4,2.3,"3",3.67227979274611
"203","Yannick Bolasie","Left Winger","1989-05-24T00:00:00Z",27,"DR Congo","Everton FC","Premier League","2016/2017",2016,"Yannick","Bolasie",1,4,45,1048,14,326.7,238,252,3,172,81.8,3,0,3,1.7,"4",3.86450381679389
"204","Ademola Lookman","Left Winger","1997-10-20T00:00:00Z",18,"England","Everton FC","Premier League","2016/2017",2016,"Ademola","Lookman",1,0,16,289,2,15.5,55.8,193,0,33,26.1,1,0,0,0,"4",4.98269896193772
"205","Kevin Mirallas","Right Winger","1987-10-05T00:00:00Z",28,"Belgium","Everton FC","Premier League","2016/2017",2016,"Kevin","Mirallas",4,8,119,2074,26,682.1,439.6,739,8,420,185.4,11,0,2,2.2,"4",5.16393442622951
"206","Gerard Deulofeu","Right Winger","1994-03-13T00:00:00Z",22,"Spain","Everton FC","Premier League","2016/2017",2016,"Gerard","Deulofeu",0,0,13,460,6,150.8,54.6,115,0,53,32,0,0,1,0.8,"4",2.54347826086957
"207","Aaron Lennon","Right Winger","1987-04-16T00:00:00Z",29,"England","Everton FC","Premier League","2016/2017",2016,"Aaron","Lennon",0,1,22,509,5,93.4,78,54,0,104,22.3,2,0,0,0.2,"4",3.88998035363458
"208","Romelu Lukaku","Centre-Forward","1993-05-13T00:00:00Z",23,"Belgium","Everton FC","Premier League","2016/2017",2016,"Romelu","Lukaku",25,6,221,3266,42,701.4,1171.6,1670,33,824,354.1,13,0,3,32.2,"5",6.09001837109614
"209","Oumar Niasse","Centre-Forward","1990-04-18T00:00:00Z",26,"Senegal","Everton FC","Premier League","2016/2017",2016,"Oumar","Niasse",4,1,44,1096,30,163,205.8,417,3,125,76.8,2,1,3,0.4,"5",3.61313868613139
"210","Enner Valencia","Centre-Forward","1989-11-04T00:00:00Z",26,"Ecuador","Everton FC","Premier League","2016/2017",2016,"Enner","Valencia",3,3,54,927,12,117.6,194.2,490,3,173,79,2,0,1,1.7,"5",5.24271844660194
"211","Arouna Koné","Centre-Forward","1983-11-11T00:00:00Z",32,"Cote d'Ivoire","Everton FC","Premier League","2016/2017",2016,"Arouna","Koné",0,0,6,78,3,19.6,7.8,22,0,17,4.9,0,0,0,0.7,"5",6.92307692307692
"212","Dominic Calvert-Lewin","Centre-Forward","1997-03-16T00:00:00Z",19,"England","Everton FC","Premier League","2016/2017",2016,"Dominic","Calvert-Lewin",1,0,17,347,7,10,53.2,82,1,46,14.1,0,0,1,0.1,"5",4.40922190201729
"213","Darren Randolph","Goalkeeper","1987-05-12T00:00:00Z",29,"Ireland","West Ham United","Premier League","2016/2017",2016,"Darren","Randolph",0,0,69,1980,39,0,484.8,0,5,370,48.7,4,0,1,1.3,"1",3.13636363636364
"214","Raphael Spiegel","Goalkeeper","1992-12-19T00:00:00Z",23,"Switzerland","West Ham United","Premier League","2016/2017",2016,"Raphael","Spiegel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,"1",NA
"215","Winston Reid","Centre-Back","1988-07-03T00:00:00Z",27,"New Zealand","West Ham United","Premier League","2016/2017",2016,"Winston","Reid",2,3,102,2587,48,104.4,793.6,141,16,622,104,9,1,8,2.4,"2",3.54851178971782
"216","Angelo Ogbonna","Centre-Back","1988-05-23T00:00:00Z",28,"Italy","West Ham United","Premier League","2016/2017",2016,"Angelo","Ogbonna",0,0,45,1755,31,82.4,384.4,51,2,322,51.6,4,0,2,0.7,"2",2.30769230769231
"217","James Collins","Centre-Back","1983-08-23T00:00:00Z",32,"Wales","West Ham United","Premier League","2016/2017",2016,"James","Collins",2,0,69,1655,29,45.4,501,169,7,364,71.6,6,0,3,4.5,"2",3.75226586102719
"218","Reece Oxford","Centre-Back","1998-12-16T00:00:00Z",17,"England","West Ham United","Premier League","2016/2017",2016,"Reece","Oxford",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,"2",NA
"219","Reece Burke","Centre-Back","1996-09-02T00:00:00Z",19,"England","West Ham United","Premier League","2016/2017",2016,"Reece","Burke",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",NA
"220","Aaron Cresswell","Left-Back","1989-12-15T00:00:00Z",26,"England","West Ham United","Premier League","2016/2017",2016,"Aaron","Cresswell",0,2,60,2115,35,284.7,307.6,121,1,334,71.2,5,1,2,0.3,"2",2.5531914893617
"221","Arthur Masuaku","Left-Back","1993-11-07T00:00:00Z",22,"DR Congo","West Ham United","Premier League","2016/2017",2016,"Arthur","Masuaku",0,1,34,972,24,126.7,219.8,18,7,253,36.4,3,0,1,0.1,"2",3.14814814814815
"222","Sam Byram","Right-Back","1993-09-16T00:00:00Z",22,"England","West Ham United","Premier League","2016/2017",2016,"Sam","Byram",0,1,29,1249,27,118.2,202.2,72,2,198,39.4,3,1,5,0.3,"2",2.08967173738991
"223","Álvaro Arbeloa","Right-Back","1983-01-17T00:00:00Z",33,"Spain","West Ham United","Premier League","2016/2017",2016,"Álvaro","Arbeloa",0,0,0,258,9,32.5,37,3,0,34,7.3,0,0,3,0.1,"2",0
"224","Alex Pike","Right-Back","1997-02-08T00:00:00Z",19,"England","West Ham United","Premier League","2016/2017",2016,"Alex","Pike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",NA
"225","Cheikhou Kouyaté","Defensive Midfield","1989-12-21T00:00:00Z",26,"Senegal","West Ham United","Premier League","2016/2017",2016,"Cheikhou","Kouyaté",1,1,79,2723,46,147.4,458.8,200,3,438,80.5,9,0,3,0.7,"3",2.61109070877708
"226","Declan Rice","Defensive Midfield","1999-01-14T00:00:00Z",17,"England","West Ham United","Premier League","2016/2017",2016,"Declan","Rice",0,0,1,1,0,0.3,0.6,0,0,3,0.1,0,0,0,0,"3",90
"227","Pedro Obiang","Central Midfield","1992-03-27T00:00:00Z",24,"Equatorial Guinea","West Ham United","Premier League","2016/2017",2016,"Pedro","Obiang",1,2,55,1763,32,131.3,311.4,52,6,331,49.4,4,0,7,0.3,"3",2.80771412365286
"228","Mark Noble","Central Midfield","1987-05-08T00:00:00Z",29,"England","West Ham United","Premier League","2016/2017",2016,"Mark","Noble",3,0,71,2389,40,384.8,342,233,5,389,95.9,8,0,10,1.2,"3",2.6747593135203
