Club Name,Date Of Birth,Kickoff Time,League Name,Nationality,Player Name,Position,Position Index,Season,Was Home,Year,Age,Assists,Bonus,Bps,Clean Sheets,Creativity,Element,F1,Fixture,Goals Conceded,Goals Scored,GW,Ict Index,Influence,Minutes,Opponent Team,Own Goals,Penalties Missed,Penalties Saved,Red Cards,Round,Saves,Selected,Team A Score,Team H Score,Threat,Total Points,Transfers Balance,Transfers In,Transfers Out,Value,Yellow Cards
Manchester United,2/22/1987,8/31/2019 11:30:00 AM,Premier League,Argentina,Sergio Romero,Goalkeeper,1,2019/2020,False,2019,32,0,0,0,0,0,236,1644,39,0,0,4,0,0,0,16,0,0,0,0,4,0,11265,1,1,0,0,-701,122,823,49,0
Manchester United,1/27/1983,8/31/2019 11:30:00 AM,Premier League,England,Lee Grant,Goalkeeper,1,2019/2020,False,2019,36,0,0,0,0,0,237,1513,39,0,0,4,0,0,0,16,0,0,0,0,4,0,7082,1,1,0,0,-442,34,476,49,0
Manchester United,2/22/1987,6/19/2020 7:15:00 PM,Premier League,Argentina,Sergio Romero,Goalkeeper,1,2019/2020,False,2019,32,0,0,0,0,0,236,13805,298,0,0,39,0,0,0,17,0,0,0,0,39,0,13970,1,1,0,0,56,265,209,46,0
Manchester United,1/27/1983,6/19/2020 7:15:00 PM,Premier League,England,Lee Grant,Goalkeeper,1,2019/2020,False,2019,36,0,0,0,0,0,237,13611,298,0,0,39,0,0,0,17,0,0,0,0,39,0,7553,1,1,0,0,32,140,108,47,0
Sheffield United,10/3/1996,11/9/2019 3:00:00 PM,Premier League,England,Jake Eastwood,Goalkeeper,1,2019/2020,False,2019,22,0,0,0,0,0,299,4970,119,0,0,12,0,0,0,17,0,0,0,0,12,0,10820,1,1,0,0,-636,16,652,44,0
Sheffield United,12/3/1996,11/9/2019 3:00:00 PM,Premier League,Netherlands,Michael Verrips,Goalkeeper,1,2019/2020,False,2019,22,0,0,0,0,0,521,5088,119,0,0,12,0,0,0,17,0,0,0,0,12,0,2885,1,1,0,0,-37,21,58,44,0
Sheffield United,5/19/1990,11/9/2019 3:00:00 PM,Premier League,England,Simon Moore,Goalkeeper,1,2019/2020,False,2019,29,0,0,0,0,0,436,5178,119,0,0,12,0,0,0,17,0,0,0,0,12,0,6157,1,1,0,0,-75,81,156,44,0
Watford FC,1/21/1999,10/19/2019 2:00:00 PM,Premier League,Sweden,Pontus Dahlberg,Goalkeeper,1,2019/2020,False,2019,20,0,0,0,0,0,367,3796,89,0,0,9,0,0,0,17,0,0,0,0,9,0,9353,1,1,0,0,-218,73,291,44,0
Leicester City,6/22/1993,6/20/2020 11:30:00 AM,Premier League,Wales,Danny Ward,Goalkeeper,1,2019/2020,False,2019,26,0,0,0,0,0,170,13400,299,0,0,39,0,0,0,18,0,0,0,0,39,0,12039,1,1,0,0,-61,162,223,42,0
Leicester City,10/2/1984,6/20/2020 11:30:00 AM,Premier League,Switzerland,Eldin Jakupovic,Goalkeeper,1,2019/2020,False,2019,34,0,0,0,0,0,169,13435,299,0,0,39,0,0,0,18,0,0,0,0,39,0,6582,1,1,0,0,-24,136,160,42,0
Aston Villa,9/23/1992,7/26/2020 3:00:00 PM,Premier League,England,Jed Steer,Goalkeeper,1,2019/2020,False,2019,26,0,0,0,0,0,429,17808,380,0,0,47,0,0,0,19,0,0,0,0,47,0,6472,1,1,0,0,-2,38,40,43,0
Aston Villa,4/3/1990,7/26/2020 3:00:00 PM,Premier League,Croatia,Lovre Kalinic,Goalkeeper,1,2019/2020,False,2019,29,0,0,0,0,0,474,17879,380,0,0,47,0,0,0,19,0,0,0,0,47,0,5852,1,1,0,0,-19,44,63,42,0
Aston Villa,4/15/1986,7/26/2020 3:00:00 PM,Premier League,England,Tom Heaton,Goalkeeper,1,2019/2020,False,2019,33,0,0,0,0,0,94,18064,380,0,0,47,0,0,0,19,0,0,0,0,47,0,161103,1,1,0,0,-1268,79,1347,43,0
Everton FC,2/1/1989,1/18/2020 3:00:00 PM,Premier League,Denmark,Jonas Lössl,Goalkeeper,1,2019/2020,False,2019,30,0,0,0,0,0,479,10152,230,0,0,23,0,0,0,19,0,0,0,0,23,0,20580,1,1,0,0,-338,36,374,43,0
Everton FC,9/22/1982,1/18/2020 3:00:00 PM,Premier League,Netherlands,Maarten Stekelenburg,Goalkeeper,1,2019/2020,False,2019,36,0,0,0,0,0,149,9988,230,0,0,23,0,0,0,19,0,0,0,0,23,0,568819,1,1,0,0,-7064,2634,9698,40,0
Sheffield United,10/3/1996,10/26/2019 2:00:00 PM,Premier League,England,Jake Eastwood,Goalkeeper,1,2019/2020,False,2019,22,0,0,0,0,0,299,4076,100,0,0,10,0,0,0,19,0,0,0,0,10,0,12301,1,1,0,0,-626,34,660,44,0
Sheffield United,12/3/1996,10/26/2019 2:00:00 PM,Premier League,Netherlands,Michael Verrips,Goalkeeper,1,2019/2020,False,2019,22,0,0,0,0,0,521,4194,100,0,0,10,0,0,0,19,0,0,0,0,10,0,2859,1,1,0,0,-23,21,44,44,0
Sheffield United,5/19/1990,10/26/2019 2:00:00 PM,Premier League,England,Simon Moore,Goalkeeper,1,2019/2020,False,2019,29,0,0,0,0,0,436,4283,100,0,0,10,0,0,0,19,0,0,0,0,10,0,6168,1,1,0,0,-44,67,111,44,0
Burnley FC,4/19/1987,8/25/2019 3:30:00 PM,Premier League,England,Joe Hart,Goalkeeper,1,2019/2020,False,2019,32,0,0,0,0,0,95,1048,30,0,0,3,0,0,0,20,0,0,0,0,3,0,108737,1,1,0,0,-11430,1249,12679,45,0
Newcastle United,10/8/1990,1/11/2020 3:00:00 PM,Premier League,England,Karl Darlow,Goalkeeper,1,2019/2020,False,2019,28,0,0,0,0,0,263,9493,220,0,0,22,0,0,0,20,0,0,0,0,22,0,8595,1,1,0,0,-81,57,138,43,0
Sheffield United,10/3/1996,12/1/2019 2:00:00 PM,Premier League,England,Jake Eastwood,Goalkeeper,1,2019/2020,False,2019,22,0,0,0,0,0,299,5870,140,0,0,14,0,0,0,20,0,0,0,0,14,0,9958,1,1,0,0,-295,12,307,43,0
Sheffield United,12/3/1996,12/1/2019 2:00:00 PM,Premier League,Netherlands,Michael Verrips,Goalkeeper,1,2019/2020,False,2019,22,0,0,0,0,0,521,5989,140,0,0,14,0,0,0,20,0,0,0,0,14,0,2944,1,1,0,0,-49,21,70,44,0
Sheffield United,5/19/1990,12/1/2019 2:00:00 PM,Premier League,England,Simon Moore,Goalkeeper,1,2019/2020,False,2019,29,0,0,0,0,0,436,6080,140,0,0,14,0,0,0,20,0,0,0,0,14,0,7123,1,1,0,0,57,500,443,44,0
Southampton FC,12/20/1997,10/19/2019 2:00:00 PM,Premier League,England,Harry Lewis,Goalkeeper,1,2019/2020,False,2019,21,0,0,0,0,0,548,3605,90,0,0,9,0,0,0,20,0,0,0,0,9,0,4104,1,1,0,0,725,1070,345,40,0
Southampton FC,12/3/1989,10/19/2019 2:00:00 PM,Premier League,England,Alex McCarthy,Goalkeeper,1,2019/2020,False,2019,29,0,0,0,0,0,318,3456,90,0,0,9,0,0,0,20,0,0,0,0,9,0,28335,1,1,0,0,-860,394,1254,43,0
Southampton FC,3/17/1988,10/19/2019 2:00:00 PM,Premier League,England,Fraser Forster,Goalkeeper,1,2019/2020,False,2019,31,0,0,0,0,0,317,3590,90,0,0,9,0,0,0,20,0,0,0,0,9,0,30595,1,1,0,0,-1821,33,1854,44,0
Southampton FC,1/22/1996,10/19/2019 2:00:00 PM,Premier League,England,Angus Gunn,Goalkeeper,1,2019/2020,False,2019,23,0,0,9,0,0,319,3473,90,1,0,9,0.1,1,90,20,0,0,0,0,9,0,233529,1,1,0,2,-10184,4181,14365,45,0
Arsenal FC,3/4/1992,1/11/2020 12:30:00 PM,Premier League,Germany,Bernd Leno,Goalkeeper,1,2019/2020,False,2019,27,0,0,11,0,0,14,9733,214,1,0,22,1.1,11.4,90,7,0,0,0,0,22,1,391318,1,1,0,2,16722,26543,9821,50,0
Tottenham Hotspur,12/26/1986,7/26/2020 3:00:00 PM,Premier League,France,Hugo Lloris,Goalkeeper,1,2019/2020,False,2019,32,0,0,10,0,0,340,17761,374,1,0,47,0.8,8.2,90,7,0,0,0,0,47,1,317939,1,1,0,2,14015,17597,3582,53,0
Manchester United,11/7/1990,8/31/2019 11:30:00 AM,Premier League,Spain,David de Gea,Goalkeeper,1,2019/2020,False,2019,28,0,0,10,0,0,235,1373,39,1,0,4,1,10.4,90,16,0,0,0,0,4,1,1297883,1,1,0,2,-60184,47132,107316,56,0
Watford FC,4/3/1983,10/19/2019 2:00:00 PM,Premier League,England,Ben Foster,Goalkeeper,1,2019/2020,False,2019,36,0,0,10,0,0,366,3490,89,1,0,9,0.3,3.2,90,17,0,0,0,0,9,1,109774,1,1,0,2,-1911,2935,4846,48,0
Watford FC,4/3/1983,2/8/2020 5:30:00 PM,Premier League,England,Ben Foster,Goalkeeper,1,2019/2020,False,2019,36,0,0,17,0,0,366,11548,253,1,0,26,2,19.6,90,4,0,0,0,0,26,2,357890,1,1,0,2,-18766,5775,24541,49,0
Tottenham Hotspur,1/2/1992,11/3/2019 4:30:00 PM,Premier League,Argentina,Paulo Gazzaniga,Goalkeeper,1,2019/2020,False,2019,27,0,0,12,0,0,341,4678,106,1,0,11,2,19.6,90,8,0,0,0,0,11,2,138519,1,1,0,2,51713,54737,3024,44,0
Brighton & Hove Albion,4/8/1992,2/22/2020 3:00:00 PM,Premier League,Australia,Mathew Ryan,Goalkeeper,1,2019/2020,False,2019,27,0,0,14,0,0,47,12141,268,1,0,27,2,20.2,90,15,0,0,0,0,27,2,1133725,1,1,0,2,-51030,2718,53748,48,0
Manchester United,11/7/1990,6/19/2020 7:15:00 PM,Premier League,Spain,David de Gea,Goalkeeper,1,2019/2020,False,2019,28,0,0,12,0,0,235,13409,298,1,0,39,1.6,15.6,90,17,0,0,0,0,39,2,851068,1,1,0,2,-7420,27305,34725,53,0
Burnley FC,4/19/1992,8/25/2019 3:30:00 PM,Premier League,England,Nick Pope,Goalkeeper,1,2019/2020,False,2019,27,0,0,14,0,0,93,1158,30,1,0,3,0.9,9.4,90,20,0,0,0,0,3,2,573817,1,1,0,2,90981,127275,36294,45,0
Newcastle United,1/15/1989,1/11/2020 3:00:00 PM,Premier League,Slovakia,Martin Dubravka,Goalkeeper,1,2019/2020,False,2019,30,0,0,12,0,0,262,9694,220,1,0,22,2,19.8,90,20,0,0,0,0,22,2,100302,1,1,0,2,118,5577,5459,50,0
Sheffield United,3/12/1997,1/18/2020 3:00:00 PM,Premier League,England,Dean Henderson,Goalkeeper,1,2019/2020,False,2019,22,0,0,14,0,0,471,10086,221,1,0,23,2.2,22.4,90,1,0,0,0,0,23,3,770739,1,1,0,3,55428,80278,24850,49,0
Arsenal FC,3/4/1992,12/26/2019 3:00:00 PM,Premier League,Germany,Bernd Leno,Goalkeeper,1,2019/2020,False,2019,27,0,0,16,0,0,14,8317,182,1,0,19,3.1,31,90,3,0,0,0,0,19,3,388593,1,1,0,3,-1672,5751,7423,50,0
Sheffield United,3/12/1997,7/5/2020 11:00:00 AM,Premier League,England,Dean Henderson,Goalkeeper,1,2019/2020,False,2019,22,0,0,15,0,0,471,15044,321,1,0,42,1.8,17.6,90,5,0,0,0,0,42,3,1234365,1,1,0,3,-15248,17528,32776,52,0
Brighton & Hove Albion,4/8/1992,12/16/2019 7:45:00 PM,Premier League,Australia,Mathew Ryan,Goalkeeper,1,2019/2020,False,2019,27,0,0,15,0,0,47,7160,164,1,0,17,2.7,27,90,7,0,0,0,0,17,3,1267662,1,1,0,3,20073,39082,19009,48,0
Southampton FC,12/3/1989,7/9/2020 5:00:00 PM,Premier League,England,Alex McCarthy,Goalkeeper,1,2019/2020,False,2019,29,0,0,14,0,0,318,15458,336,1,0,43,2.4,24,90,8,0,0,0,0,43,3,272752,1,1,0,3,4718,9903,5185,45,0
Arsenal FC,3/4/1992,9/30/2019 7:00:00 PM,Premier League,Germany,Bernd Leno,Goalkeeper,1,2019/2020,False,2019,27,0,0,13,0,0,14,2615,67,1,0,7,1.9,18.6,90,12,0,0,0,0,7,3,397350,1,1,0,3,-26428,7202,33630,50,0
West Ham United,4/18/1985,7/22/2020 5:00:00 PM,Premier League,Poland,Lukasz Fabianski,Goalkeeper,1,2019/2020,False,2019,34,0,0,13,0,0,388,17344,365,1,0,46,2,19.6,90,12,0,0,0,0,46,3,163524,1,1,0,3,-3969,989,4958,49,0
Crystal Palace,1/10/1987,1/1/2020 5:30:00 PM,Premier League,Spain,Vicente Guaita,Goalkeeper,1,2019/2020,False,2019,32,0,0,13,0,0,131,9031,207,1,0,21,1.9,19,90,14,0,0,0,0,21,3,252863,1,1,0,3,-6297,15943,22240,51,0
Watford FC,4/3/1983,12/26/2019 3:00:00 PM,Premier League,England,Ben Foster,Goalkeeper,1,2019/2020,False,2019,36,0,0,15,0,0,366,7956,188,1,0,19,2.7,26.6,90,15,0,0,0,0,19,3,143080,1,1,0,3,3577,6158,2581,48,0
Leicester City,11/5/1986,6/20/2020 11:30:00 AM,Premier League,Denmark,Kasper Schmeichel,Goalkeeper,1,2019/2020,False,2019,32,0,0,14,0,0,168,13584,299,1,0,39,2.7,26.6,90,18,0,0,0,0,39,3,985673,1,1,0,3,-84869,30627,115496,54,0
Sheffield United,3/12/1997,10/26/2019 2:00:00 PM,Premier League,England,Dean Henderson,Goalkeeper,1,2019/2020,False,2019,22,0,0,15,0,0,471,4003,100,1,0,10,2.1,21.4,90,19,0,0,0,0,10,3,332190,1,1,0,3,60192,64710,4518,46,0
Sheffield United,3/12/1997,12/1/2019 2:00:00 PM,Premier League,England,Dean Henderson,Goalkeeper,1,2019/2020,False,2019,22,0,0,16,0,0,471,5796,140,1,0,14,1.6,16.2,90,20,0,0,0,0,14,3,408887,1,1,0,3,29354,39362,10008,47,0
Burnley FC,4/19/1992,9/14/2019 2:00:00 PM,Premier League,England,Nick Pope,Goalkeeper,1,2019/2020,False,2019,27,0,0,19,0,0,93,2013,43,1,0,5,3.1,31.4,90,4,0,0,0,0,5,4,870790,1,1,0,3,153960,183463,29503,46,0
Manchester United,11/7/1990,3/1/2020 2:00:00 PM,Premier League,Spain,David de Gea,Goalkeeper,1,2019/2020,False,2019,28,0,0,12,0,0,235,12561,274,1,0,28,2.8,28,90,8,0,0,0,0,28,4,846963,1,1,0,3,1635,8354,6719,54,0
Brighton & Hove Albion,4/8/1992,7/16/2020 7:15:00 PM,Premier League,Australia,Mathew Ryan,Goalkeeper,1,2019/2020,False,2019,27,0,0,18,0,0,47,16837,359,1,0,45,2.3,22.6,90,16,0,0,0,0,45,4,875571,1,1,0,3,-2990,6359,9349,47,0
Crystal Palace,1/10/1987,12/28/2019 3:00:00 PM,Premier League,Spain,Vicente Guaita,Goalkeeper,1,2019/2020,False,2019,32,0,0,17,0,0,131,8561,198,1,0,20,3.1,30.6,90,16,0,0,0,0,20,4,256657,1,1,0,3,2049,15740,13691,51,0
Sheffield United,3/12/1997,11/9/2019 3:00:00 PM,Premier League,England,Dean Henderson,Goalkeeper,1,2019/2020,False,2019,22,0,0,16,0,0,471,4897,119,1,0,12,2.5,25,90,17,0,0,0,0,12,4,430174,1,1,0,3,40392,49544,9152,47,0
Everton FC,3/7/1994,1/18/2020 3:00:00 PM,Premier League,England,Jordan Pickford,Goalkeeper,1,2019/2020,False,2019,25,0,0,16,0,0,148,9833,230,1,0,23,2.8,28.4,90,19,0,0,0,0,23,4,537866,1,1,0,3,10187,21444,11257,53,0
Brighton & Hove Albion,2/27/1989,12/5/2019 8:15:00 PM,Premier League,England,David Button,Goalkeeper,1,2019/2020,False,2019,30,0,0,0,0,0,48,6241,141,0,0,15,0,0,0,1,0,0,0,0,15,0,1547182,2,1,0,0,-22932,2891,25823,40,0
Chelsea FC,9/28/1981,12/29/2019 2:00:00 PM,Premier League,Argentina,Willy Caballero,Goalkeeper,1,2019/2020,False,2019,37,0,0,0,0,0,112,8556,191,0,0,20,0,0,0,1,0,0,0,0,20,0,14913,2,1,0,0,-80,31,111,48,0
Chelsea FC,9/28/1981,6/21/2020 3:15:00 PM,Premier League,Argentina,Willy Caballero,Goalkeeper,1,2019/2020,False,2019,37,0,0,0,0,0,112,13860,291,0,0,39,0,0,0,2,0,0,0,0,39,0,18493,2,1,0,0,-1366,834,2200,48,0
Liverpool FC,11/23/1998,11/2/2019 3:00:00 PM,Premier League,Ireland,Caoimhin Kelleher,Goalkeeper,1,2019/2020,False,2019,20,0,0,0,0,0,531,4400,102,0,0,11,0,0,0,2,0,0,0,0,11,0,1868,2,1,0,0,-12,51,63,45,0
Liverpool FC,3/6/1988,11/2/2019 3:00:00 PM,Premier League,Belgium,Simon Mignolet,Goalkeeper,1,2019/2020,False,2019,31,0,0,0,0,0,190,4728,102,0,0,11,0,0,0,2,0,0,0,0,11,0,2560,2,1,0,0,-19,23,42,45,0
Liverpool FC,10/19/1983,11/2/2019 3:00:00 PM,Premier League,England,Andy Lonergan,Goalkeeper,1,2019/2020,False,2019,35,0,0,0,0,0,530,4362,102,0,0,11,0,0,0,2,0,0,0,0,11,0,1681,2,1,0,0,-37,20,57,44,0
Wolverhampton Wanderers,8/12/1993,11/23/2019 3:00:00 PM,Premier League,England,Will Norris,Goalkeeper,1,2019/2020,False,2019,25,0,0,0,0,0,413,5665,123,0,0,13,0,0,0,3,0,0,0,0,13,0,46297,2,1,0,0,-666,886,1552,40,0
Wolverhampton Wanderers,10/24/1986,11/23/2019 3:00:00 PM,Premier League,England,John Ruddy,Goalkeeper,1,2019/2020,False,2019,32,0,0,0,0,0,412,5451,123,0,0,13,0,0,0,3,0,0,0,0,13,0,30192,2,1,0,0,-600,220,820,44,0
Aston Villa,9/23/1992,1/1/2020 12:30:00 PM,Premier League,England,Jed Steer,Goalkeeper,1,2019/2020,False,2019,26,0,0,0,0,0,429,9133,203,0,0,21,0,0,0,5,0,0,0,0,21,0,6969,2,1,0,0,-88,15,103,44,0
Aston Villa,4/3/1990,1/1/2020 12:30:00 PM,Premier League,Croatia,Lovre Kalinic,Goalkeeper,1,2019/2020,False,2019,29,0,0,0,0,0,474,9271,203,0,0,21,0,0,0,5,0,0,0,0,21,0,6668,2,1,0,0,-87,47,134,43,0
Brighton & Hove Albion,2/27/1989,7/26/2020 3:00:00 PM,Premier League,England,David Button,Goalkeeper,1,2019/2020,False,2019,30,0,0,0,0,0,48,17688,372,0,0,47,0,0,0,5,0,0,0,0,47,0,1410030,2,1,0,0,-17510,10005,27515,39,0
Liverpool FC,11/23/1998,9/22/2019 3:30:00 PM,Premier League,Ireland,Caoimhin Kelleher,Goalkeeper,1,2019/2020,False,2019,20,0,0,0,0,0,531,2191,53,0,0,6,0,0,0,6,0,0,0,0,6,0,1301,2,1,0,0,-14,48,62,45,0
Liverpool FC,3/6/1988,9/22/2019 3:30:00 PM,Premier League,Belgium,Simon Mignolet,Goalkeeper,1,2019/2020,False,2019,31,0,0,0,0,0,190,2512,53,0,0,6,0,0,0,6,0,0,0,0,6,0,2748,2,1,0,0,-66,36,102,45,0
Liverpool FC,10/19/1983,9/22/2019 3:30:00 PM,Premier League,England,Andy Lonergan,Goalkeeper,1,2019/2020,False,2019,35,0,0,0,0,0,530,2157,53,0,0,6,0,0,0,6,0,0,0,0,6,0,1543,2,1,0,0,-85,39,124,45,0
Liverpool FC,11/23/1998,11/23/2019 3:00:00 PM,Premier League,Ireland,Caoimhin Kelleher,Goalkeeper,1,2019/2020,False,2019,20,0,0,0,0,0,531,5297,125,0,0,13,0,0,0,7,0,0,0,0,13,0,1946,2,1,0,0,-81,48,129,45,0
Liverpool FC,3/6/1988,11/23/2019 3:00:00 PM,Premier League,Belgium,Simon Mignolet,Goalkeeper,1,2019/2020,False,2019,31,0,0,0,0,0,190,5626,125,0,0,13,0,0,0,7,0,0,0,0,13,0,2528,2,1,0,0,-48,24,72,45,0
Liverpool FC,10/19/1983,11/23/2019 3:00:00 PM,Premier League,England,Andy Lonergan,Goalkeeper,1,2019/2020,False,2019,35,0,0,0,0,0,530,5258,125,0,0,13,0,0,0,7,0,0,0,0,13,0,1702,2,1,0,0,-39,26,65,43,0
Southampton FC,12/20/1997,1/11/2020 3:00:00 PM,Premier League,England,Harry Lewis,Goalkeeper,1,2019/2020,False,2019,21,0,0,0,0,0,548,9584,216,0,0,22,0,0,0,9,0,0,0,0,22,0,11100,2,1,0,0,594,1133,539,40,0
Southampton FC,1/22/1996,1/11/2020 3:00:00 PM,Premier League,England,Angus Gunn,Goalkeeper,1,2019/2020,False,2019,23,0,0,0,0,0,319,9577,216,0,0,22,0,0,0,9,0,0,0,0,22,0,119779,2,1,0,0,-5456,1004,6460,43,0
Southampton FC,3/17/1988,1/11/2020 3:00:00 PM,Premier League,England,Fraser Forster,Goalkeeper,1,2019/2020,False,2019,31,0,0,0,0,0,317,9473,216,0,0,22,0,0,0,9,0,0,0,0,22,0,23672,2,1,0,0,-329,61,390,43,0
Manchester United,2/22/1987,12/7/2019 5:30:00 PM,Premier League,Argentina,Sergio Romero,Goalkeeper,1,2019/2020,False,2019,32,0,0,0,0,0,236,6883,155,0,0,16,0,0,0,11,0,0,0,0,16,0,12603,2,1,0,0,-144,26,170,48,0
Manchester United,1/27/1983,12/7/2019 5:30:00 PM,Premier League,England,Lee Grant,Goalkeeper,1,2019/2020,False,2019,36,0,0,0,0,0,237,6843,155,0,0,16,0,0,0,11,0,0,0,0,16,0,7295,2,1,0,0,-54,11,65,48,0
Crystal Palace,1/24/1987,8/24/2019 2:00:00 PM,Premier League,Wales,Wayne Hennessey,Goalkeeper,1,2019/2020,False,2019,32,0,0,0,0,0,132,1252,25,0,0,3,0,0,0,12,0,0,0,0,3,0,57502,2,1,0,0,-5579,615,6194,45,0
Everton FC,2/1/1989,12/28/2019 3:00:00 PM,Premier League,Denmark,Jonas Lössl,Goalkeeper,1,2019/2020,False,2019,30,0,0,0,0,0,479,8612,196,0,0,20,0,0,0,13,0,0,0,0,20,0,21319,2,1,0,0,-237,30,267,43,0
Everton FC,9/22/1982,12/28/2019 3:00:00 PM,Premier League,Netherlands,Maarten Stekelenburg,Goalkeeper,1,2019/2020,False,2019,36,0,0,0,0,0,149,8614,196,0,0,20,0,0,0,13,0,0,0,0,20,0,584064,2,1,0,0,-2313,1825,4138,40,0
Sheffield United,10/3/1996,12/8/2019 2:00:00 PM,Premier League,England,Jake Eastwood,Goalkeeper,1,2019/2020,False,2019,22,0,0,0,0,0,299,6973,157,0,0,16,0,0,0,14,0,0,0,0,16,0,9547,2,1,0,0,-213,3,216,43,0
Sheffield United,12/3/1996,12/8/2019 2:00:00 PM,Premier League,Netherlands,Michael Verrips,Goalkeeper,1,2019/2020,False,2019,22,0,0,0,0,0,521,6788,157,0,0,16,0,0,0,14,0,0,0,0,16,0,2975,2,1,0,0,-11,17,28,44,0
Sheffield United,5/19/1990,12/8/2019 2:00:00 PM,Premier League,England,Simon Moore,Goalkeeper,1,2019/2020,False,2019,29,0,0,0,0,0,436,6597,157,0,0,16,0,0,0,14,0,0,0,0,16,0,7040,2,1,0,0,-75,139,214,44,0
Wolverhampton Wanderers,8/12/1993,12/21/2019 3:00:00 PM,Premier League,England,Will Norris,Goalkeeper,1,2019/2020,False,2019,25,0,0,0,0,0,413,7765,177,0,0,18,0,0,0,14,0,0,0,0,18,0,45437,2,1,0,0,-721,551,1272,40,0
Wolverhampton Wanderers,10/24/1986,12/21/2019 3:00:00 PM,Premier League,England,John Ruddy,Goalkeeper,1,2019/2020,False,2019,32,0,0,0,0,0,412,7883,177,0,0,18,0,0,0,14,0,0,0,0,18,0,29255,2,1,0,0,-317,125,442,43,0
Burnley FC,10/29/1996,2/15/2020 12:30:00 PM,Premier League,Northern Ireland,Bailey Peacock-Farrell,Goalkeeper,1,2019/2020,False,2019,22,0,0,0,0,0,495,11649,259,0,0,26,0,0,0,16,0,0,0,0,26,0,5551,2,1,0,0,-16,44,60,44,0
Burnley FC,4/19/1987,2/15/2020 12:30:00 PM,Premier League,England,Joe Hart,Goalkeeper,1,2019/2020,False,2019,32,0,0,0,0,0,95,11478,259,0,0,26,0,0,0,16,0,0,0,0,26,0,80682,2,1,0,0,-366,451,817,42,0
Everton FC,2/1/1989,11/9/2019 3:00:00 PM,Premier League,Denmark,Jonas Lössl,Goalkeeper,1,2019/2020,False,2019,30,0,0,0,0,0,479,5004,118,0,0,12,0,0,0,16,0,0,0,0,12,0,24073,2,1,0,0,-735,34,769,44,0
Everton FC,9/22/1982,11/9/2019 3:00:00 PM,Premier League,Netherlands,Maarten Stekelenburg,Goalkeeper,1,2019/2020,False,2019,36,0,0,0,0,0,149,5054,118,0,0,12,0,0,0,16,0,0,0,0,12,0,613067,2,1,0,0,-7285,2222,9507,40,0
Chelsea FC,9/28/1981,11/2/2019 5:30:00 PM,Premier League,Argentina,Willy Caballero,Goalkeeper,1,2019/2020,False,2019,37,0,0,0,0,0,112,4765,109,0,0,11,0,0,0,18,0,0,0,0,11,0,15045,2,1,0,0,-186,115,301,48,0
Crystal Palace,1/24/1987,10/5/2019 4:30:00 PM,Premier League,Wales,Wayne Hennessey,Goalkeeper,1,2019/2020,False,2019,32,0,0,0,0,0,132,3421,80,0,0,8,0,0,0,19,0,0,0,0,8,0,47612,2,1,0,0,-1565,448,2013,44,0
Leicester City,6/22/1993,12/28/2019 5:30:00 PM,Premier League,Wales,Danny Ward,Goalkeeper,1,2019/2020,False,2019,26,0,0,0,0,0,170,8718,200,0,0,20,0,0,0,19,0,0,0,0,20,0,12213,2,1,0,0,-48,38,86,43,0
Leicester City,10/2/1984,12/28/2019 5:30:00 PM,Premier League,Switzerland,Eldin Jakupovic,Goalkeeper,1,2019/2020,False,2019,34,0,0,0,0,0,169,8427,200,0,0,20,0,0,0,19,0,0,0,0,20,0,6514,2,1,0,0,-35,32,67,43,0
Liverpool FC,11/23/1998,1/23/2020 8:00:00 PM,Premier League,Ireland,Caoimhin Kelleher,Goalkeeper,1,2019/2020,False,2019,20,0,0,0,0,0,531,10373,237,0,0,24,0,0,0,20,0,0,0,0,24,0,2096,2,1,0,0,-40,9,49,44,0
Liverpool FC,3/6/1988,1/23/2020 8:00:00 PM,Premier League,Belgium,Simon Mignolet,Goalkeeper,1,2019/2020,False,2019,31,0,0,0,0,0,190,10765,237,0,0,24,0,0,0,20,0,0,0,0,24,0,2487,2,1,0,0,-10,9,19,45,0
Liverpool FC,10/19/1983,1/23/2020 8:00:00 PM,Premier League,England,Andy Lonergan,Goalkeeper,1,2019/2020,False,2019,35,0,0,0,0,0,530,10328,237,0,0,24,0,0,0,20,0,0,0,0,24,0,1804,2,1,0,0,-25,9,34,42,0
Tottenham Hotspur,1/8/1999,12/15/2019 2:00:00 PM,Premier League,England,Brandon Austin,Goalkeeper,1,2019/2020,False,2019,20,0,0,0,0,0,558,7038,170,0,0,17,0,0,0,20,0,0,0,0,17,0,8679,2,1,0,0,563,1095,532,40,0
Tottenham Hotspur,10/2/1998,12/15/2019 2:00:00 PM,Premier League,England,Alfie Whiteman,Goalkeeper,1,2019/2020,False,2019,20,0,0,0,0,0,543,7052,170,0,0,17,0,0,0,20,0,0,0,0,17,0,32022,2,1,0,0,623,1886,1263,40,0
Tottenham Hotspur,12/26/1986,12/15/2019 2:00:00 PM,Premier League,France,Hugo Lloris,Goalkeeper,1,2019/2020,False,2019,32,0,0,0,0,0,340,7456,170,0,0,17,0,0,0,20,0,0,0,0,17,0,253038,2,1,0,0,-6055,127,6182,53,0
Tottenham Hotspur,10/20/1983,12/15/2019 2:00:00 PM,Premier League,Netherlands,Michel Vorm,Goalkeeper,1,2019/2020,False,2019,35,0,0,0,0,0,555,7194,170,0,0,17,0,0,0,20,0,0,0,0,17,0,1116,2,1,0,0,-67,31,98,43,0
